Full name,Age,Department,Years at company,Salary band,Have you experienced burnout?
Employee 000,50,Finance,13,D,No
Employee 001,54,Finance,3,B,No
Employee 002,52,Finance,12,B,Yes
Employee 003,50,Support,2,A,No
Employee 004,24,Finance,6,D,No
Employee 005,61,Sales,9,A,No
Employee 006,26,Engineering,0,B,Yes
Employee 007,60,Engineering,12,D,No
Employee 008,50,Finance,13,B,No
Employee 009,36,Support,7,A,No
Employee 010,27,Design,10,C,No
Employee 011,57,Engineering,11,C,No
Employee 012,36,Finance,4,A,Yes
Employee 013,58,Engineering,6,A,No
Employee 014,46,Engineering,0,A,Yes
Employee 015,35,Engineering,7,D,No
Employee 016,47,Design,1,B,No
Employee 017,39,Support,1,C,No
Employee 018,22,Design,12,A,Yes
Employee 019,37,Engineering,0,A,No
Employee 020,53,Sales,10,B,No
Employee 021,54,Sales,11,B,No
Employee 022,46,Engineering,6,D,Yes
Employee 023,22,Support,13,C,Yes
Employee 024,35,Sales,6,A,Yes
Employee 025,31,Sales,7,C,Yes
Employee 026,61,Support,13,C,No
Employee 027,26,Engineering,1,B,No
Employee 028,37,Engineering,9,C,No
Employee 029,61,Design,2,D,No
Employee 030,30,Design,2,B,No
Employee 031,36,Finance,3,B,Yes
Employee 032,57,Sales,10,D,No
Employee 033,60,Engineering,6,A,Yes
Employee 034,28,Engineering,8,C,Yes
Employee 035,47,Support,6,D,No
Employee 036,55,Sales,14,A,Yes
Employee 037,36,Design,8,A,No
Employee 038,35,Sales,11,A,Yes
Employee 039,39,Design,7,B,Yes
Employee 040,24,Sales,4,C,No
Employee 041,58,Sales,1,C,Yes
Employee 042,50,Support,10,B,No
Employee 043,24,Engineering,7,C,No
Employee 044,41,Engineering,0,A,No
Employee 045,26,Support,5,B,Yes
Employee 046,26,Design,8,C,No
Employee 047,24,Sales,12,C,No
Employee 048,27,Design,14,A,No
Employee 049,23,Design,9,A,No
Employee 050,46,Design,9,A,No
Employee 051,26,Engineering,1,A,No
Employee 052,48,Support,6,D,No
Employee 053,51,Finance,1,A,No
Employee 054,60,Engineering,7,A,Yes
Employee 055,29,Design,12,D,No
Employee 056,22,Support,4,B,No
Employee 057,61,Sales,8,B,No
Employee 058,50,Design,14,B,No
Employee 059,47,Support,3,D,Yes
Employee 060,35,Design,3,C,Yes
Employee 061,30,Sales,7,C,Yes
Employee 062,26,Support,13,B,Yes
Employee 063,50,Design,4,B,No
Employee 064,46,Finance,7,C,No
Employee 065,61,Design,5,A,Yes
Employee 066,39,Finance,0,C,No
Employee 067,44,Support,10,A,No
Employee 068,30,Design,7,B,Yes
Employee 069,39,Sales,12,B,Yes
Employee 070,29,Design,1,C,Yes
Employee 071,34,Sales,13,D,No
Employee 072,33,Engineering,12,D,No
Employee 073,24,Sales,3,C,No
Employee 074,56,Finance,8,B,No
Employee 075,36,Engineering,6,D,Yes
Employee 076,50,Design,3,A,No
Employee 077,57,Finance,10,C,No
Employee 078,42,Sales,1,A,Yes
Employee 079,37,Design,1,C,No
Employee 080,42,Support,14,A,No
Employee 081,54,Engineering,0,D,No
Employee 082,57,Design,12,C,No
Employee 083,23,Sales,12,A,No
Employee 084,24,Sales,8,C,No
Employee 085,30,Design,2,D,No
Employee 086,59,Engineering,12,B,No
Employee 087,55,Finance,4,B,No
Employee 088,54,Finance,4,C,No
Employee 089,46,Finance,3,C,Yes
Employee 090,56,Finance,4,D,Yes
Employee 091,48,Finance,1,A,No
Employee 092,46,Engineering,8,A,No
Employee 093,47,Finance,12,A,No
Employee 094,27,Sales,1,D,No
Employee 095,47,Support,3,D,No
Employee 096,30,Support,6,D,No
Employee 097,42,Engineering,3,D,No
Employee 098,23,Support,2,A,Yes
Employee 099,34,Sales,3,A,No
Employee 100,40,Support,11,C,Yes
Employee 101,61,Design,1,D,No
Employee 102,59,Engineering,13,C,No
Employee 103,34,Finance,14,D,Yes
Employee 104,46,Design,13,B,No
Employee 105,35,Finance,10,B,No
Employee 106,35,Finance,9,B,Yes
Employee 107,44,Sales,5,C,Yes
Employee 108,35,Sales,14,A,Yes
Employee 109,37,Sales,11,A,No
Employee 110,46,Engineering,6,D,No
Employee 111,30,Sales,6,A,Yes
Employee 112,34,Finance,10,C,No
Employee 113,29,Finance,10,C,No
Employee 114,34,Engineering,7,A,Yes
Employee 115,24,Finance,9,D,Yes
Employee 116,34,Sales,1,B,Yes
Employee 117,32,Support,14,A,No
Employee 118,25,Sales,10,D,Yes
Employee 119,28,Support,6,D,No
Employee 120,54,Support,6,B,No
Employee 121,45,Engineering,10,A,Yes
Employee 122,33,Design,7,C,No
Employee 123,45,Design,14,B,No
Employee 124,32,Engineering,8,A,No
Employee 125,27,Design,9,B,No
Employee 126,59,Support,12,C,No
Employee 127,29,Sales,13,D,Yes
Employee 128,43,Finance,11,C,No
Employee 129,33,Design,3,B,Yes
Employee 130,43,Support,7,A,Yes
Employee 131,44,Finance,0,B,No
Employee 132,41,Support,3,D,No
Employee 133,33,Finance,1,D,No
Employee 134,53,Sales,11,A,No
Employee 135,58,Engineering,1,A,No
Employee 136,37,Support,7,D,No
Employee 137,25,Sales,10,D,Yes
Employee 138,28,Support,4,C,No
Employee 139,57,Finance,8,D,No
Employee 140,58,Engineering,10,D,No
Employee 141,26,Finance,9,A,No
Employee 142,32,Design,7,B,No
Employee 143,56,Finance,9,A,No
Employee 144,53,Design,4,D,No
Employee 145,41,Support,8,C,No
Employee 146,39,Finance,14,C,No
Employee 147,40,Engineering,0,B,No
Employee 148,24,Sales,6,D,Yes
Employee 149,42,Design,0,C,Yes
Employee 150,36,Design,11,D,No
Employee 151,37,Engineering,8,A,No
Employee 152,51,Sales,13,B,No
Employee 153,29,Engineering,9,D,No
Employee 154,29,Sales,13,A,No
Employee 155,55,Sales,1,C,No
Employee 156,30,Design,7,C,No
Employee 157,59,Design,5,B,No
Employee 158,30,Sales,7,A,No
Employee 159,41,Finance,9,C,No
Employee 160,39,Finance,10,B,No
Employee 161,39,Sales,3,B,No
Employee 162,34,Engineering,10,A,Yes
Employee 163,39,Support,6,A,No
Employee 164,24,Engineering,3,C,Yes
Employee 165,27,Sales,8,B,No
Employee 166,45,Design,7,C,Yes
Employee 167,43,Support,7,B,Yes
Employee 168,29,Design,12,B,No
Employee 169,49,Support,6,B,No
Employee 170,31,Finance,5,C,No
Employee 171,33,Design,10,C,No
Employee 172,28,Design,14,C,Yes
Employee 173,56,Engineering,6,D,No
Employee 174,51,Support,13,A,Yes
Employee 175,41,Sales,14,A,No
Employee 176,41,Design,11,C,No
Employee 177,31,Sales,5,C,No
Employee 178,29,Support,11,D,No
Employee 179,60,Support,7,C,No
